lemma	def
Πιτθεύς	Pitheus; of the deme Pitthos
Πιτύεια	Pityeia
Πλάκος	a mountain above the city of Thebe
Πλάταια	Plataea
Πλαγκταί	the Clashing Rocks
Πλειάδες	the Pleiads
Πλευρών	Pleuron
Πλουτώ	Pluto
Ποδάργη	Podarge, ‘Swift-footed’
Ποδάρκης	Podarces
Ποδαλείριος	Podalirius
Ποδῆς	Podes, son of Eëtion
Ποιάντιος	son of Poeas, Philoctetes
Πολίτης	Polites
Πολυαιμονίδης	son of Polyaemon , Amopaon
Πολυδεύκης	Pollux
Πολυδώρη	Polydora
Πολυθερσεΐδης	son of Polytherses , Ctesippus
Πολυκάστη	Polycaste, daughter of Nestor
Πολυκτορίδης	son of Polyctor, Pisander
Πολυμήλη	daughter of Phylas, mother of Eudorus
Πολυνείκης	Polyneices
Πολυπημονίδης	son of Polypemon
Πολυποίτης	Polypoetes
Πολυφήτης	Polyphetes
Πολυφείδης	Polyphides
Πολυφόντης	Polyphontes
Πολύδαμνα	Polydamna
Πολύδωρος	Polydorus
Πολύκτωρ	Polyctor
Πολύμηλος	Polymelus
Πολύνηος	Polyneus
Πολύξεινος	Polyxenus
Πολύφημος	Polyphemus
Πολύϊδος	Polyidus
Ποντεύς	Ponteus
Ποντόνοος	Pontonous
Πορθεύς	Portheus
Ποσειδῶν	Poseidon
Ποσιδήϊον	temple of Poseidon
Πουλυδάμας	Polydamas
Πράκτιος	Practius
Πράμνειος	Pramnian
Πρίαμος	Priam
Πριαμίδης	son of Priam
Προθοήνωρ	Prothoenor
Προθόων	Prothoon
Προτιάων	Protiaon
Προῖτος	Proetus, king of Tiryns
Πρυμνεύς	Prymneus
Πρωρεύς	Proreus
Πρωτεσίλαος	Protesilaus, first-of-the-people
Πρωτεύς	Proteus
Πρωτώ	Proto
Πρόθοος	Prothous
Πρόκρις	Procris
Πρόμαχος	Promachus
Πρόνοος	Pronous
Πρύτανις	Prytanis
Πτελεόν	Pteleum
Πτολεμαῖος	Ptolemy
Πυγμαῖος	Pygmy (Fist-size), dwarfish
Πυθώ	Pytho, the region of Delphi
Πυλάρτης	Pylartes
Πυλήνη	Pylene
Πυλαιμένης	Pylaemenes
Πυραίχμης	Pyraechmes
Πυριφλεγέθων	Pyriphlegethon
Πόδαργος	Podargus
Πόλυβος	Polybus
Πύθιος	Pythian
Πύλαιος	Pylaeus
Πύλος	Pylos
Πύλων	Pylon
Πύρασος	Pyrasus
Πύρις	Pyris
Σάμη	island of Same, near Ithaca
Σάμος	Samos
Σάτνιος	Satnius
Σέλαγος	Selagus
Σήσαμος	Sesamus
Σίντιες	the Sintians
Σίπυλος	Sipylus
Σίσυφος	the crafty.)
Σαγγάριος	Sangarius
Σαλαμίς	Salamis
Σαλμωνεύς	Salmoneus, son of Aeolus
Σαρπηδών	Sarpedon
Σατνιόεις	Satnioeis, river in the Troas
Σειληνός	Silenus
Σειρήν	a Siren
Σεμέλη	Semele
Σηστός	Sestos
Σιδόνες	men of Sidon
Σιδών	Sidon; Sidonian
Σικανία	Sicania
Σικυών	Sicyon
Σιμόεις	Simoeis river
Σκάμανδρος	the Scamander
Σκύλλα	Scylla
Σκῦρος	Scyros
Σμινθεύς	the Sminthian
Σμύρνα	Smyrna
Σούνιον	Sunium
Σπάρτη	Sparta
Στέντωρ	Stentor
Στρόφιος	Strophius
Στύμφαλος	Stymphalus, a city and mountain of Arcadia
Στύξ	the Styx
Συρία	Syria
Σχερία	Scheria
Σόλυμοι	Solymi, a Lycian tribe
Τάνταλος	Tantalus
Τάρνη	Tarne
Τάρταρος	Tartarus
Τάρφη	Tarphe
Τένεδος	Tenedus
Τίρυνς	Tiryns
Ταίναρος	Taenarus
Ταΰγετον	Mount Taygetus
Ταλθύβιος	Talthybius
Τεγέα	Tegea
Τειρεσίας	Tiresias
Τελαμών	Telamon
Τελφοῦσα	Telphusa
Τηλέμαχος	Telemachus
Τηλέπυλος	Telepylus
Τραχίς	Trachis
Τροία	Troy
Τροίζηνος	Troezenus, father of Euphemus
Τροιζήν	Troezen
Τροφώνιος	Trophonius
Τρωΐλος	Troius
Τρώς	Tros
Τρῆχος	Trechus
Τρῳάς	Troas
